,inverse_v,spy_v,inverse_v_with_25bps_slip
2010-07-14,9.250481888144446,2.2734772826999228,9.077964063566897
2010-07-15,9.238752723487558,2.2740774807025557,9.06645364318682
2010-07-16,8.920406665415495,2.2114607572714107,8.754044613051843
2010-07-19,8.999352809014384,2.224523855964613,8.831518442330557
2010-07-20,9.14262792537332,2.249198274574973,8.972121534497765
2010-07-21,9.002528088776193,2.2199631954020473,8.834634504382024
2010-07-22,9.26800943564567,2.2695371935185706,9.095164729247092
2010-07-23,9.38407151386563,2.2892140809863766,9.209062295661871
2010-07-26,9.549525227392376,2.3130585348539308,9.3714303629411
2010-07-27,9.509854668901477,2.3128503595857937,9.332499644658892
2010-07-28,9.372081805030982,2.297920910514667,9.197296190149787
2010-07-29,9.335709574991073,2.28672543983864,9.161602287798896
2010-07-30,9.362096052842439,2.2863115425340292,9.1874966682858
2010-08-02,9.573149841651055,2.33793874347599,9.39461438749778
2010-08-03,9.469480530492346,2.3267423548334834,9.29287846794535
2010-08-04,9.575280397553525,2.3422919739908354,9.396705209376245
2010-08-05,9.535279114299195,2.339804459914457,9.3574499342165
2010-08-06,9.47128620040729,2.3303095334161243,9.294650462831319
2010-08-09,9.548818892074413,2.3427487257055,9.370737200497143
2010-08-10,9.400498086742235,2.329954974914422,9.225182519458262
2010-08-11,9.063698648287408,2.266198086980864,8.894664257178237
2010-08-12,8.99932805219233,2.2523062927076714,8.831494147213434
2010-08-13,8.9276881638089,2.2456709983693544,8.761190314383251
2010-08-16,8.938938857835677,2.244633498368108,8.772231187421031
2010-08-17,9.101512243975138,2.2722088208955604,8.931772644278311
2010-08-18,9.124883266052827,2.2763556019936946,8.954707806047768
2010-08-19,8.942380532041854,2.2367538435858103,8.775608675765952
2010-08-20,8.915398340901486,2.229497814117218,8.74912969180702
2010-08-23,8.854764672922862,2.221072541877669,8.689626817728904
2010-08-24,8.710420615600796,2.1880318667446965,8.547974719924305
2010-08-25,8.770777962988506,2.1965323705469997,8.607206426681119
2010-08-26,8.697313791109403,2.181811210599594,8.535112332520153
2010-08-27,8.893306595285024,2.2156074662517815,8.727449948499306
2010-08-30,8.746480796644462,2.183490020420996,8.583362392869176
2010-08-31,8.73199421373919,2.183470369010812,8.569145978999265
2010-09-01,9.065803687269828,2.2487823346886633,8.896730038017102
2010-09-02,9.201451694904948,2.269722995789284,9.029848264018309
2010-09-03,9.359230211038682,2.299165842490663,9.184684273296975
2010-09-07,9.17898631804806,2.273249645114108,9.007801857544855
2010-09-08,9.258494669602888,2.2892146773717448,9.085827409823723
2010-09-09,9.283653232438612,2.2997885599665246,9.110516775423852
2010-09-10,9.34743855714916,2.311441588599875,9.173112529083708
2010-09-13,9.514064416328743,2.3371101474412765,9.336630881963442
2010-09-14,9.544880378556227,2.3356588020397155,9.366872138696664
2010-09-15,9.571001890564878,2.3445740116871012,9.392506494848908
2010-09-16,9.519044305025204,2.3439526995740043,9.341517897707456
2010-09-17,9.53073730400748,2.3448269939309454,9.352992826888443
2010-09-20,9.747269460295637,2.38067939866815,9.565486744195576
2010-09-21,9.703499331899382,2.3758847103592324,9.522532911363557
2010-09-22,9.580385332762821,2.3642119887772375,9.401714939565137
2010-09-23,9.495636003589485,2.344993309520467,9.318546151825222
2010-09-24,9.775712421489638,2.3933939714289694,9.593399255425018
2010-09-27,9.720672320419006,2.381929614305825,9.53938563044677
2010-09-28,9.775515081675959,2.3902663679558955,9.593205595920724
2010-09-29,9.770638104892983,2.3860977434101804,9.58841957282376
2010-09-30,9.769373216150019,2.3790110331122523,9.586161490727102
2010-10-01,9.80268724259221,2.389017153517522,9.618850756488104
2010-10-04,9.666702817531835,2.3710899687975266,9.485416540186751
2010-10-05,9.905164662151389,2.4188247520493587,9.719406347037486
2010-10-06,9.908042308883648,2.4186167331206825,9.722230027296028
2010-10-07,9.87919261082241,2.4156974627238057,9.693921367318069
2010-10-08,9.979283127526744,2.429193964448044,9.792134818231366
2010-10-11,10.030460578449562,2.4315381366237365,9.842352503478448
2010-10-12,10.071726611254968,2.4390418633133573,9.882844646198562
2010-10-13,10.197443390867868,2.458010291884345,10.006203773217175
2010-10-14,10.148731387833408,2.448421593735704,9.958405299631053
2010-10-15,10.138174933622757,2.453423719051706,9.948046817813056
2010-10-18,10.205858120684887,2.465514191139193,10.014460695861246
2010-10-19,10.008166709331059,2.433203627664314,9.820476726507444
2010-10-20,10.092970314478146,2.4569662942920836,9.903689951752215
2010-10-21,10.059628073503616,2.4623863619372917,9.870973000585263
2010-10-22,10.070217173690796,2.4669097656841705,9.881363516147502
2010-10-25,10.114851519033005,2.4742685575152064,9.925160803139867
2010-10-26,10.0590215430072,2.4746867089014266,9.870377844769317
2010-10-27,10.009638893524382,2.467599206167133,9.821921301825524
2010-10-28,9.982155684061714,2.4680162304329754,9.794953503752556
2010-10-29,10.05524068547817,2.4698919227681047,9.866667892242704
2010-11-01,10.017929702443286,2.4707267462380003,9.830056627544685
2010-11-02,10.104622725675101,2.4904258505857557,9.915123837326957
2010-11-03,10.122873918580538,2.5003277837676845,9.933032753151846
2010-11-04,10.372891986428368,2.5484790962274824,10.178362061487288
2010-11-05,10.414401916681497,2.5581709622304354,10.219093527679762
2010-11-08,10.386963534649578,2.5532720648377643,10.192169716358128
2010-11-09,10.284597508081717,2.53492935832397,10.091723429771257
2010-11-10,10.348904157672482,2.5451425887086576,10.154824092860434
2010-11-11,10.313222165520976,2.5354506857308547,10.119811269467649
2010-11-12,10.179026448451799,2.5054968713296306,9.988132216295384
2010-11-15,10.196701559064875,2.5019941867035116,10.005475853492431
2010-11-16,10.024255027391472,2.4630156192688575,9.836263329355855
2010-11-17,10.04652657757283,2.4642249599379187,9.858117205951983
2010-11-18,10.217518609842005,2.500483565998445,10.025902507904647
2010-11-19,10.272442261875312,2.5074149064433926,10.079796139195278
2010-11-22,10.284443523315591,2.505331244656138,10.09157233278657
2010-11-23,10.214638358335693,2.469008952271113,10.02307627172117
2010-11-24,10.426253431631503,2.505540408728917,10.230722783078946
2010-11-26,10.366592746500752,2.476358379588451,10.172180955506489
2010-11-29,10.34211924464906,2.483903843571057,10.14816642194296
2010-11-30,10.278557437569205,2.469949271777875,10.085796632824577
2010-12-01,10.516592714126832,2.522425814006068,10.31936787133548
2010-12-02,10.69153253781415,2.554735566257672,10.491026929078679
2010-12-03,10.750303482769196,2.561615469137604,10.548695702380359
2010-12-06,10.799763361512305,2.5589052799712566,10.597228026251402
2010-12-07,10.839238997885776,2.56036385598084,10.635963349066154
